Realm,EEZ
Temperate Northern Atlantic,Saint Pierre & Miquelon (France)
Temperate Northern Atlantic,Sardinia (Italy)
Temperate Northern Atlantic,Sicily (Italy)
Temperate Northern Atlantic,Slovenia
Temperate Northern Atlantic,Spain (Mediterranean and Gulf of Cadiz)
Temperate Northern Atlantic,Spain (Northwest)
Temperate Northern Atlantic,Sweden (Baltic)
Temperate Northern Atlantic,Sweden (West Coast)
Temperate Northern Atlantic,Syria
Temperate Northern Atlantic,Tunisia
Temperate Northern Atlantic,Turkey (Black Sea)
Temperate Northern Atlantic,Turkey (Marmara Sea)
Temperate Northern Atlantic,Turkey (Mediterranean Sea)
Temperate Northern Atlantic,USA (East Coast)
Temperate Northern Atlantic,USA (Gulf of Mexico)
Temperate Northern Atlantic,Ukraine
Temperate Northern Atlantic,United Kingdom
Temperate Northern Pacific,Canada (Pacific)
Temperate Northern Pacific,China
Temperate Northern Pacific,Japan (main islands)
Temperate Northern Pacific,Korea (North)
Temperate Northern Pacific,Korea (South)
Temperate Northern Pacific,Mexico (Pacific)
Temperate Northern Pacific,Russia (Far East)
Temperate Northern Pacific,Taiwan
Temperate Northern Pacific,"USA (Alaska, Subarctic)"
Temperate Northern Pacific,USA (West Coast)
Temperate South America,Argentina
Temperate South America,Brazil
Temperate South America,Chile
Temperate South America,Desventuradas Isl. (Chile)
Temperate South America,Falkland Isl. (UK)
Temperate South America,Juan Fernandez Islands (Chile)
Temperate South America,Peru
Temperate South America,Tristan da Cunha Isl. (UK)
Temperate South America,Uruguay
Temperate Southern Africa,Angola
Temperate Southern Africa,Namibia
Temperate Southern Africa,South Africa (Atlantic Coast)
Temperate Southern Africa,South Africa (Indian Ocean Coast)
Temperate Southern Africa,St Paul & Amsterdam Isl. (France)
Tropical Atlantic,Angola
Tropical Atlantic,Anguilla (UK)
Tropical Atlantic,Antigua & Barbuda
Tropical Atlantic,Aruba (Netherlands)
Tropical Atlantic,Ascension Isl. (UK)
Tropical Atlantic,Bahamas
Tropical Atlantic,Barbados
Tropical Atlantic,Belize
Tropical Atlantic,Benin
Tropical Atlantic,Bermuda (UK)
Tropical Atlantic,Bonaire (Netherlands)
Tropical Atlantic,Brazil
Tropical Atlantic,Brazil (Fernando de Noronha)
Tropical Atlantic,Brazil (St Paul and St. Peter Archipelago)
Tropical Atlantic,British Virgin Isl. (UK)
Tropical Atlantic,Cameroon
Tropical Atlantic,Cape Verde
Tropical Atlantic,Cayman Isl. (UK)
Tropical Atlantic,Colombia (Caribbean)
Tropical Atlantic,Congo (ex-Zaire)
Tropical Atlantic,"Congo, R. of"
Tropical Atlantic,Costa Rica (Caribbean)
Tropical Atlantic,Cuba
Tropical Atlantic,Curacao (Netherlands)
Tropical Atlantic,Côte d'Ivoire
Tropical Atlantic,Dominica
Tropical Atlantic,Dominican Republic
Tropical Atlantic,Equatorial Guinea
Tropical Atlantic,French Guiana
Tropical Atlantic,Gabon
Tropical Atlantic,Gambia
Tropical Atlantic,Ghana
Tropical Atlantic,Grenada
Tropical Atlantic,Guadeloupe  (France)
Tropical Atlantic,Guatemala (Caribbean)
Tropical Atlantic,Guinea
Tropical Atlantic,Guinea-Bissau
Tropical Atlantic,Guyana
Tropical Atlantic,Haiti
Tropical Atlantic,Honduras (Caribbean)
Tropical Atlantic,Jamaica
Tropical Atlantic,Liberia
Tropical Atlantic,Martinique (France)
Tropical Atlantic,Mauritania
Tropical Atlantic,Mexico (Atlantic)
Tropical Atlantic,Montserrat (UK)
Tropical Atlantic,Morocco (South)
Tropical Atlantic,Nicaragua (Caribbean)
Tropical Atlantic,Nigeria
Tropical Atlantic,Panama (Caribbean)
Tropical Atlantic,Panama (Pacific)
Tropical Atlantic,Puerto Rico (USA)
Tropical Atlantic,Saba and Sint Eustaius (Netherlands)
Tropical Atlantic,Saint Helena (UK)
Tropical Atlantic,Saint Kitts & Nevis
Tropical Atlantic,Saint Lucia
Tropical Atlantic,Saint Vincent & the Grenadines
Tropical Atlantic,Sao Tome & Principe
Tropical Atlantic,Senegal
Tropical Atlantic,Sierra Leone
Tropical Atlantic,Sint Maarten (Netherlands)
Tropical Atlantic,St Barthelemy (France)
Tropical Atlantic,St Martin (France)
Tropical Atlantic,Suriname
Tropical Atlantic,Togo
Tropical Atlantic,Trindade & Martim Vaz Isl. (Brazil)
Tropical Atlantic,Trinidad & Tobago
Tropical Atlantic,Turks & Caicos Isl. (UK)
Tropical Atlantic,US Virgin Isl.
Tropical Atlantic,USA (East Coast)
Tropical Atlantic,USA (Gulf of Mexico)
Tropical Atlantic,Venezuela
Tropical Eastern Pacific,Clipperton Isl.  (France)
Tropical Eastern Pacific,Colombia (Pacific)
Tropical Eastern Pacific,Costa Rica (Pacific)
Tropical Eastern Pacific,Ecuador
Tropical Eastern Pacific,El Salvador
Tropical Eastern Pacific,Galapagos Isl. (Ecuador)
Tropical Eastern Pacific,Guatemala (Pacific)
Tropical Eastern Pacific,Honduras (Pacific)
Tropical Eastern Pacific,Mexico (Pacific)
Tropical Eastern Pacific,Nicaragua (Pacific)
Tropical Eastern Pacific,Panama (Pacific)
Tropical Eastern Pacific,Peru
Western Indo-Pacific,Andaman & Nicobar Isl. (India)
Western Indo-Pacific,Bahrain
Western Indo-Pacific,Bangladesh
Western Indo-Pacific,Chagos Archipelago (UK)
Western Indo-Pacific,Comoros Isl.
Western Indo-Pacific,Djibouti
Western Indo-Pacific,Egypt (Red Sea)
Western Indo-Pacific,Eritrea
Western Indo-Pacific,Glorieuse Islands (France)
Western Indo-Pacific,India (mainland)
Western Indo-Pacific,Indonesia (Indian Ocean)
Western Indo-Pacific,Iran (Persian Gulf)
Western Indo-Pacific,Iran (Sea of Oman)
Western Indo-Pacific,Iraq
Western Indo-Pacific,Israel (Red Sea)
Western Indo-Pacific,Jordan
Western Indo-Pacific,Kenya
Western Indo-Pacific,Kuwait
Western Indo-Pacific,Madagascar
Western Indo-Pacific,Malaysia (Peninsula West)
Western Indo-Pacific,Maldives
Western Indo-Pacific,Mauritius
Western Indo-Pacific,Mayotte (France)
Western Indo-Pacific,Mozambique
Western Indo-Pacific,Mozambique Channel Isl. (France)
